idx,ts,level,eff,touch_count,bounce_count,direction,K,D,kd_sep,sticky,clean4,clean8,next_retrace
883,1782146280,1.13635,1.0,42,38,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13639,1.0,41,37,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13633,1.0,42,40,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13632,1.0,42,40,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13627,1.0,40,38,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13499,1.0,18,16,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13505,1.0,19,17,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13615,1.0,39,37,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.135,1.0,19,17,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13504,1.0,19,17,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.1361,1.0,42,39,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13502,1.0,19,17,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.139,1.0,41,35,PUT,58.787878787877965,65.12476669409303,6.336887906215061,0,1,1,1
883,1782146280,1.13898,1.0,41,35,PUT,58.787878787877965,65.12476669409303,6.336887906215061,0,1,1,1
883,1782146280,1.13497,1.0,18,16,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13617,1.0,39,37,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13622,1.0,40,38,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13625,1.0,40,39,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13894,0.994,44,37,PUT,58.787878787877965,65.12476669409303,6.336887906215061,0,1,1,1
883,1782146280,1.13891,0.998,46,39,PUT,58.787878787877965,65.12476669409303,6.336887906215061,0,1,1,1
883,1782146280,1.1364,1.0,41,37,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
883,1782146280,1.13628,1.0,41,39,CALL,58.787878787877965,65.12476669409303,6.336887906215061,0,0,0,1
884,1782147180,1.13497,0.994,19,16,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13496,0.994,19,16,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.1361,0.468,10,2,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13615,0.556,11,3,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13499,0.994,19,16,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13627,0.617,13,4,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13633,0.617,13,4,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13632,0.617,13,4,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13635,0.617,13,4,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13493,0.994,19,16,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13625,0.617,13,4,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13483,0.949,18,14,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13478,0.949,18,14,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13622,0.635,12,4,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13476,0.94,17,13,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13449,0.964,11,11,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13473,0.904,14,10,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13482,0.949,18,14,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13474,0.94,17,13,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.1346,1.0,14,13,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.1364,0.703,14,6,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13461,1.0,14,13,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13484,0.949,18,14,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13486,0.965,20,16,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13487,0.965,20,16,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13617,0.556,11,3,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13451,0.964,11,11,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13457,1.0,14,13,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13463,0.904,14,10,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13628,0.617,13,4,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
884,1782147180,1.13467,0.904,14,10,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13468,0.904,14,10,CALL,34.63856627953597,57.51348701472489,22.874920735188915,0,0,0,0
884,1782147180,1.13639,0.703,14,6,PUT,34.63856627953597,57.51348701472489,22.874920735188915,0,1,1,0
885,1782148080,1.13317,0.673,3,3,CALL,7.290081431051395,33.572175499488445,26.28209406843705,1,0,0,0
891,1782153480,1.13323,0.673,3,3,PUT,12.23814773980105,8.089835343046664,4.1483123967543865,1,0,1,0
891,1782153480,1.13317,0.673,3,3,PUT,12.23814773980105,8.089835343046664,4.1483123967543865,1,0,1,0
891,1782153480,1.13327,0.673,3,3,PUT,12.23814773980105,8.089835343046664,4.1483123967543865,1,0,1,0
893,1782155280,1.13006,0.636,2,2,CALL,10.42904778551568,12.406889504396007,1.9778417188803274,1,0,1,0
893,1782155280,1.13007,0.673,3,3,CALL,10.42904778551568,12.406889504396007,1.9778417188803274,1,0,1,0
893,1782155280,1.13013,0.673,3,3,CALL,10.42904778551568,12.406889504396007,1.9778417188803274,1,0,1,0
893,1782155280,1.12995,0.636,2,2,CALL,10.42904778551568,12.406889504396007,1.9778417188803274,1,0,1,0
893,1782155280,1.13001,0.636,2,2,CALL,10.42904778551568,12.406889504396007,1.9778417188803274,1,0,1,0
893,1782155280,1.13019,0.639,4,3,CALL,10.42904778551568,12.406889504396007,1.9778417188803274,1,0,1,0
893,1782155280,1.13004,0.636,2,2,CALL,10.42904778551568,12.406889504396007,1.9778417188803274,1,0,1,0
893,1782155280,1.13014,0.673,3,3,CALL,10.42904778551568,12.406889504396007,1.9778417188803274,1,0,1,0
894,1782156180,1.12924,0.389,2,1,CALL,8.415620153995553,11.132713642460843,2.7170934884652898,1,0,1,1
894,1782156180,1.12919,0.389,2,1,CALL,8.415620153995553,11.132713642460843,2.7170934884652898,1,0,1,1
895,1782157080,1.12912,0.389,2,1,CALL,10.869918699186334,9.90486221289919,0.9650564862871445,1,0,0,1
895,1782157080,1.12911,0.389,2,1,CALL,10.869918699186334,9.90486221289919,0.9650564862871445,1,0,0,1
895,1782157080,1.12919,0.543,3,2,CALL,10.869918699186334,9.90486221289919,0.9650564862871445,1,0,0,1
