duration,t_first_brake,t_first_cross,t_back_extreme,n_cross,n_brake,max_kd_sep,mean_kd_sep,mean_slope
67,3.0,1.0,30,15,6,21.01,4.54,-1.075
19,13.0,1.0,2,5,2,11.8,4.04,3.838
121,4.0,5.0,2,21,11,17.35,4.56,-0.531
58,18.0,4.0,2,13,6,17.52,4.36,1.159
35,11.0,2.0,2,5,3,15.71,6.18,-2.172
23,8.0,2.0,2,5,4,8.66,3.24,3.055
6,4.0,1.0,6,1,1,15.57,10.78,-11.438
15,12.0,1.0,2,1,1,8.87,4.54,4.727
57,4.0,5.0,2,11,9,20.85,4.95,-1.293
42,14.0,1.0,2,9,2,15.81,2.95,1.774
25,6.0,2.0,2,5,3,17.17,4.17,-2.707
13,2.0,1.0,13,3,4,12.01,6.4,5.583
16,6.0,2.0,2,3,3,15.35,6.91,-4.658
